中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
验厂等级供应商占比,,复合指标,T2,供应链,SUM.00.000.049,各验厂等级下的供应商数量占比,无,验厂等级供应商占比=各验厂等级供应商数量/供应商数量*100%,,"品牌,品类",%,供应链
绩效等级供应商占比,,复合指标,T2,供应链,SUM.00.000.050,各绩效等级下的供应商数量占比,无,绩效等级供应商占比=各绩效等级供应商数量/供应商数量*100%,,"品牌,品类",%,供应链
迪士尼认证供应商个数占比,,复合指标,T2,供应链,SUM.00.000.051,通过迪士尼认证的供应商家数占总供应商的比例,无,迪士尼认证供应商个数占比=迪士尼认证供应商个人/供应商总数量*100%,,"品牌,大类",%,供应链
迪士尼认证款数占比,,复合指标,T2,供应链,SUM.00.000.052,通过迪士尼IP款数占总款数的比例,无,迪士尼认证款数占比=迪士尼认证款数/开发款数*100%,,"品牌,大类",%,供应链
迪士尼订单占比,,复合指标,T2,供应链,SUM.00.000.053,通过迪士尼IP款式的订单量占总订单量的比例,无,迪士尼认证订单数量占比=迪士尼订单数量/总订单数量*100%,,"品牌,大类",%,供应链
材料专利数量,,原子指标,T2,供应链,SUM.00.000.054,当季创新面料下单面料数量及获得材料、工艺、图形、商标等知识产权项目的数量,无,无,,"品牌,采购组类型",个,供应链
终端市场退疵数量,,原子指标,T2,供应链,SUM.00.000.055,滚动近一年终端退疵数量,无,无,,"品牌,产品年,产品季,品类,供应商全称,材料结构,供应商结构,供应商区域,采购模式,订单类型_理想",件,供应链
重大质量事故次数,,原子指标,T2,供应链,SUM.00.000.056,发生重大质量事故的次数,无,无,,"品牌,采购组类型",次,供应链
市场抽查不合格次数,,原子指标,T2,供应链,SUM.00.000.057,市场抽检不合格产生的次数,无,无,,"品牌,采购组类型",次,供应链
开发款数,,原子指标,T2,供应链,SUM.00.000.058,各阶段开发总款数（去重）,无,无,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM，订单优先级",款,供应链
大货保留款数,,原子指标,T2,供应链,SUM.00.000.059,大货保留的款数,无,无,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM，订单优先级",款,供应链
按期达成订单批次数量,,原子指标,T2,供应链,SUM.00.000.060,按期达成的订单的批次数量,无,无,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM，订单优先级",单,供应链
总订单批次数量,,原子指标,T2,供应链,SUM.00.000.061,所有订单的批次数量,无,无,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM，订单优先级",批次,供应链
核价总金额,,原子指标,T2,供应链,SUM.00.000.062,核价表中的标准总成本,无,核价总金额=∑单款/色采购数量 * 单款/色核价金额,,"品牌,产品年,产品季,品类,供应商,材料结构,供应商结构,供应商区域,采购模式,MTS,MTO,MTM",元,供应链
仓检总批次数,,原子指标,T2,供应链,SUM.00.000.063,进仓检验的总批次数,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",批次,供应链
仓检不合格批次数,,原子指标,T2,供应链,SUM.00.000.064,进仓检验并且仓检不合格的批次数+包含仓检“不合格（有条件出货）”类型,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",批次,供应链
免检总批次数,,原子指标,T2,供应链,SUM.00.000.065,订单免检批次数,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",批次,供应链
整体退疵数量,,原子指标,T1,供应链,SUM.00.000.066,包含公司以及供应商退疵数量,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",件,供应链
供应商退疵数量,,原子指标,T1,供应链,SUM.00.000.067,供应商问题的退疵数量,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",件,供应链
免检认证供应商退疵率,,原子指标,T2,供应链,SUM.00.000.068,免检认证供应商的退疵数量与配发数量（不含退货）比例,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",%,供应链
FQC认证供应商退疵率,,原子指标,T2,供应链,SUM.00.000.069,FQC认证供应商的退疵数量与配发数量（不含退货）比例,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,大类,采购组",%,供应链
异常召回单数（款次）,,原子指标,T2,供应链,SUM.00.000.070,因质量异常且召回的的款单次数,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",单,供应链
异常非召回单数（款次）,,原子指标,T2,供应链,SUM.00.000.071,因质量异常但未召回的的款单次数,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",单,供应链
重大异常单数（款次）,,原子指标,T2,供应链,SUM.00.000.072,质量判定为重大异常的款单次数,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",单,供应链
市场抽检数量（款次）,,原子指标,T2,供应链,SUM.00.000.073,市场抽检的订单数量的款单次数,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",件,供应链
FQC认证供应商个数,,原子指标,T2,供应链,SUM.00.000.074,通过FQC认证供应商个数,无,无,,供应商,家,供应链
免检认证供应商个数,,原子指标,T2,供应链,SUM.00.000.075,通过免检认证供应商个数,无,无,,供应商,家,供应链
下单供应商个数,,原子指标,T2,供应链,SUM.00.000.076,已下单的供应商数量,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",家,供应链
FQC供应商订单采购数量,,原子指标,T2,供应链,SUM.00.000.077,供应商为FQC的订单采购数量,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",件,供应链
免检供应商订单采购数量,,原子指标,T2,供应链,SUM.00.000.078,供应商为免检的订单采购数量,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",件,供应链
FQC订单覆盖目标占比,,原子指标,T2,供应链,SUM.00.000.079,FQC订单覆盖目标值,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",%,供应链
免检订单覆盖目标,,原子指标,T2,供应链,SUM.00.000.080,免检订单覆盖目标值,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",-,供应链
理化检测指标问题点,,原子指标,T2,供应链,SUM.00.000.081,理化检测问题项目,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",-,供应链
已用产能,,原子指标,T2,供应链,SUM.00.000.082,已使用的供应商产能,无,已用产能=总产能-实际可用产能,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",-,供应链
可用产能,,原子指标,T2,供应链,SUM.00.000.083,预约产能与已用产能差值,无,可用产能=提报产能-已用产能,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",-,供应链
提报产能,,原子指标,T2,供应链,SUM.00.000.084,供应商提报的产能,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",-,供应链
规划产能,,原子指标,T2,供应链,SUM.00.000.085,规划使用的产能,无,无,,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",-,供应链
季前交付采购金额,,原子指标,T2,供应链,SUM.00.000.086,各产品季季前交付的金额,无,季前定义：Q1:12月，Q2:3月，Q3:6月，Q4:9月及之前(不联动筛选时间),,"品牌,产品年,产品季,供应商,品类,小类,渠道,定位",元,供应链
初版款数,,原子指标,T2,供应链,SUM.00.000.087,开发进度为初版阶段的款数,无,无,,"品牌,产品年,产品季,阶段,款号,供应商,品类,小类,渠道,采购组,采购模式",-,供应链
内评款数,,原子指标,T2,供应链,SUM.00.000.088,开发进度为内评阶段的款数,无,无,,"品牌,产品年,产品季,阶段,款号,供应商,品类,小类,渠道,采购组,采购模式",-,供应链
订货款数,,原子指标,T2,供应链,SUM.00.000.089,开发进度为订货阶段的款数,无,无,,"品牌,产品年,产品季,阶段,款号,供应商,品类,小类,渠道,采购组,采购模式",-,供应链
大货款数,,原子指标,T2,供应链,SUM.00.000.090,实际下发大货的款数,无,无,,"品牌,产品年,产品季,阶段,款号,供应商,品类,小类,渠道,采购组",-,供应链
柔供款数,,原子指标,T2,供应链,SUM.00.000.091,下发柔供订单的款数,无,无,,"品牌,产品年,产品季,阶段,款号,供应商,品类,小类,渠道,采购组",-,供应链
ODM实际款数,,原子指标,T2,供应链,SUM.00.000.092,采购模式为ODM的款数,无,无,,"品牌,产品年,产品季,阶段,款号,供应商,品类,小类,渠道,采购组",-,供应链
CMT实际款数,,原子指标,T2,供应链,SUM.00.000.093,采购模式为CMT的款数,无,无,,"品牌,产品年,产品季,阶段,款号,供应商,品类,小类,渠道,采购组",-,供应链
实际交付比例,,原子指标,T2,供应链,SUM.00.000.094,实际订单到仓进度比例,无,无,,"品牌,产品年,产品季,阶段,款号,供应商,品类,小类,渠道,采购组,生产阶段",%,供应链
材料发明专利应用订单量,,原子指标,T2,供应链,SUM.00.000.095,应用材料发明专利产品的实际订单数量,无,无,,"品牌,产品年,产品季,阶段,品类,材料结构",单,供应链
材料发明专利个数目标,,原子指标,T2,供应链,SUM.00.000.096,材料发明专利个数目标值,无,无,,"品牌,产品年,产品季,阶段,品类,材料结构",个,供应链
材料发明专利应用订单目标,,原子指标,T2,供应链,SUM.00.000.097,应用专利产品订单目标数量,无,无,,"品牌,产品年,产品季,阶段,品类,材料结构",-,供应链
创新面种应用产品零售市值,,原子指标,T2,供应链,SUM.00.000.098,创新面种应用产品零售数量*吊牌金额,无,无,,"品牌,产品年,产品季,阶段,品类,材料结构",-,供应链
创新面种应用产品总订单市值,,原子指标,T2,供应链,SUM.00.000.099,创新面种应用产品下单数量*吊牌金额,无,无,,"品牌,产品年,产品季,阶段,品类,材料结构",-,供应链
集采订单金额,,原子指标,T2,供应链,SUM.00.000.100,集采订单采购额,无,无,,"品牌,产品年,产品季,阶段,品类,材料结构",元,供应链
柔供订单采购数量,,原子指标,T2,供应链,SUM.00.000.101,"生产阶段为""加翻单""的采购数量",无,无,,"品牌,产品年,产品季,阶段,品类",件,供应链
预计交付订单数量,,原子指标,T2,供应链,SUM.00.000.102,按照合同期预计交付的订单量,无,无,,"品牌,产品年,产品季,阶段,品类",单,供应链
实际交付订单金额,,原子指标,T2,供应链,SUM.00.000.103,按照实际入库时间交付的订单额,无,无,,"品牌,产品年,产品季,阶段,品类",元,供应链
库龄,,原子指标,T2,供应链,SUM.00.000.104,库存材料库存分布（按产品季计算，4季为1年）,无,无,,仓库,-,供应链
消耗库存金额,,原子指标,T2,供应链,SUM.00.000.105,统计实际已消耗的库存金额,无,无,,"品牌,产品年,产品季,阶段,品类",元,供应链
计提金额,,原子指标,T2,供应链,SUM.00.000.106,统计计提的库存金额,无,无,,"品牌,产品年,产品季,阶段,品类,系列",元,供应链
报废金额,,原子指标,T2,供应链,SUM.00.000.107,统计报废的库存金额,无,无,,"品牌,产品年,产品季,阶段,品类,系列",元,供应链
工艺成本,,原子指标,T2,供应链,SUM.00.000.108,工艺（如印绣花、特殊工艺）等的费用,无,无,,"品类,中类",元,供应链
利润,,原子指标,T2,供应链,SUM.00.000.109,企业在一定时期内通过生产经营活动所实现的最终财务成果。,无,无,,"品类,中类",-,供应链
棉花集采量,,原子指标,T2,供应链,SUM.00.000.110,通过集采方式，采购棉花订单量,无,无,,"品牌,产品年,产品季,供应商,大类,面种,面种编号,产品经理",-,供应链
棉花价格,,原子指标,T2,供应链,SUM.00.000.111,棉花行情实时价格,无,无,,"品牌,产品年,产品季,供应商,大类,面种,面种编号,产品经理",元,供应链
化纤集采量,,原子指标,T2,供应链,SUM.00.000.112,通过集采方式，采购化纤订单量,无,无,,"品牌,产品年,产品季,供应商,大类,面种,面种编号,产品经理",-,供应链
化纤价格,,原子指标,T2,供应链,SUM.00.000.113,化纤行情实时价格,无,无,,"品牌,产品年,产品季,供应商,大类,面种,面种编号,产品经理",元,供应链
羽绒集采量,,原子指标,T2,供应链,SUM.00.000.114,通过集采方式，采购羽绒订单量,无,无,,"品牌,产品年,产品季,供应商,大类,面种,面种编号,产品经理",-,供应链
羽绒价格,,原子指标,T2,供应链,SUM.00.000.115,羽绒行情实时价格,无,无,,"品牌,产品年,产品季,供应商,大类,面种,面种编号,产品经理",元,供应链
拉链集采量,,原子指标,T2,供应链,SUM.00.000.116,通过集采方式，采购拉链纽扣的订单量,无,无,,"品牌,产品年,产品季,供应商,大类,面种,面种编号,产品经理",-,供应链
金属铜价格,,原子指标,T2,供应链,SUM.00.000.117,金属铜行情实时价格,无,无,,"品牌,产品年,产品季,供应商,大类,面种,面种编号,产品经理",元,供应链
供应商个数,,原子指标,T2,供应链,SUM.00.000.118,现有合作供应商总数量,无,无,,"品牌,中类,状态,合作年限,定位,验厂等级",家,供应链
